rank,name,slug,download_url,source_type
201,Classic Editor,classic-editor,https://downloads.wordpress.org/plugin/classic-editor.1.7.0.zip,public
202,All-in-One WP Migration and Backup,all-in-one-wp-migration,https://downloads.wordpress.org/plugin/all-in-one-wp-migration.7.105.zip,public
203,WP Mail SMTP by WPForms &#8211; The Most Popular SMTP and Email Log Plugin,wp-mail-smtp,https://downloads.wordpress.org/plugin/wp-mail-smtp.4.8.0.zip,public
204,Yoast Duplicate Post,duplicate-post,https://downloads.wordpress.org/plugin/duplicate-post.4.6.zip,public
205,UpdraftPlus: WP Backup &amp; Migration Plugin,updraftplus,https://downloads.wordpress.org/plugin/updraftplus.1.26.5.zip,public
206,Duplicate Page,duplicate-page,https://downloads.wordpress.org/plugin/duplicate-page.zip,public
207,Really Simple Security &#8211; Simple and Performant Security (formerly Really Simple SSL),really-simple-ssl,https://downloads.wordpress.org/plugin/really-simple-ssl.9.5.11.zip,public
208,Hostinger Tools,hostinger,https://downloads.wordpress.org/plugin/hostinger.3.0.68.zip,public
209,WPCode &#8211; Insert Headers and Footers + Custom Code Snippets &#8211; WordPress Code Manager,insert-headers-and-footers,https://downloads.wordpress.org/plugin/insert-headers-and-footers.2.3.6.zip,public
210,WordPress Importer,wordpress-importer,https://downloads.wordpress.org/plugin/wordpress-importer.0.9.5.zip,public
211,Classic Widgets,classic-widgets,https://downloads.wordpress.org/plugin/classic-widgets.0.3.zip,public
212,WPS Hide Login,wps-hide-login,https://downloads.wordpress.org/plugin/wps-hide-login.1.9.18.zip,public
213,Advanced Custom Fields (ACF®),advanced-custom-fields,https://downloads.wordpress.org/plugin/advanced-custom-fields.6.8.4.zip,public
214,Advanced Editor Tools,tinymce-advanced,https://downloads.wordpress.org/plugin/tinymce-advanced.5.9.2.zip,public
215,"Limit Login Attempts Security &#8211; Login Security, 2FA, Firewall, Brute Force Prevention",limit-login-attempts-reloaded,https://downloads.wordpress.org/plugin/limit-login-attempts-reloaded.3.3.1.zip,public
216,Loco Translate,loco-translate,https://downloads.wordpress.org/plugin/loco-translate.2.8.5.zip,public
217,Disable Comments &#8211; Remove Comments &amp; Stop Spam [Multi-Site Support],disable-comments,https://downloads.wordpress.org/plugin/disable-comments.2.7.0.zip,public
218,"Duplicator &#8211; Backups &amp; Migration Plugin &#8211; Cloud Backups, Scheduled Backups, &amp; More",duplicator,https://downloads.wordpress.org/plugin/duplicator.1.5.16.1.zip,public
219,Better Search Replace,better-search-replace,https://downloads.wordpress.org/plugin/better-search-replace.1.4.10.zip,public
220,Loginizer,loginizer,https://downloads.wordpress.org/plugin/loginizer.2.0.8.zip,public
221,File Manager,wp-file-manager,https://downloads.wordpress.org/plugin/wp-file-manager.zip,public
222,Speed Optimizer &#8211; The All-In-One Performance-Boosting Plugin,sg-cachepress,https://downloads.wordpress.org/plugin/sg-cachepress.7.7.11.zip,public
223,Hostinger Reach &#8211; AI-Powered Email Marketing for WordPress,hostinger-reach,https://downloads.wordpress.org/plugin/hostinger-reach.1.5.1.zip,public
224,SVG Support,svg-support,https://downloads.wordpress.org/plugin/svg-support.2.5.16.zip,public
225,AI Agent by SiteGround,sg-ai-studio,https://downloads.wordpress.org/plugin/sg-ai-studio.1.2.4.zip,public
226,Custom Post Type UI,custom-post-type-ui,https://downloads.wordpress.org/plugin/custom-post-type-ui.1.19.2.zip,public
227,ManageWP Worker,worker,https://downloads.wordpress.org/plugin/worker.4.9.34.zip,public
228,One Click Demo Import,one-click-demo-import,https://downloads.wordpress.org/plugin/one-click-demo-import.3.4.1.zip,public
229,Maintenance,maintenance,https://downloads.wordpress.org/plugin/maintenance.4.21.zip,public
230,Safe SVG,safe-svg,https://downloads.wordpress.org/plugin/safe-svg.2.4.0.zip,public
231,Image Optimizer &#8211; Optimize Images and Convert to WebP or AVIF,image-optimization,https://downloads.wordpress.org/plugin/image-optimization.1.7.5.zip,public
232,All-In-One Security (AIOS) – Security and Firewall,all-in-one-wp-security-and-firewall,https://downloads.wordpress.org/plugin/all-in-one-wp-security-and-firewall.5.4.9.zip,public
233,WP Multibyte Patch,wp-multibyte-patch,https://downloads.wordpress.org/plugin/wp-multibyte-patch.2.9.3.zip,public
234,Imagify: Optimize Images for Top Speed (Compress &amp; Convert to WebP/AVIF),imagify,https://downloads.wordpress.org/plugin/imagify.2.2.8.zip,public
235,Redux Framework,redux-framework,https://downloads.wordpress.org/plugin/redux-framework.4.5.11.zip,public
236,Widgets for Google Reviews,wp-reviews-plugin-for-google,https://downloads.wordpress.org/plugin/wp-reviews-plugin-for-google.13.2.9.zip,public
237,"WPvivid — Backup, Migration &amp; Staging",wpvivid-backuprestore,https://downloads.wordpress.org/plugin/wpvivid-backuprestore.0.9.129.zip,public
238,Google for WooCommerce,google-listings-and-ads,https://downloads.wordpress.org/plugin/google-listings-and-ads.3.7.1.zip,public
239,Smart Slider 3,smart-slider-3,https://downloads.wordpress.org/plugin/smart-slider-3.3.5.1.37.zip,public
240,Breadcrumb NavXT,breadcrumb-navxt,https://downloads.wordpress.org/plugin/breadcrumb-navxt.7.5.1.zip,public
241,Flamingo,flamingo,https://downloads.wordpress.org/plugin/flamingo.2.6.2.zip,public
242,Antispam Bee,antispam-bee,https://downloads.wordpress.org/plugin/antispam-bee.2.11.12.zip,public
243,MainWP Child &#8211; Securely Connects to the MainWP Dashboard to Manage Multiple Sites,mainwp-child,https://downloads.wordpress.org/plugin/mainwp-child.6.1.1.zip,public
244,Joinchat &#8211; Enhanced &quot;click to chat&quot;,creame-whatsapp-me,https://downloads.wordpress.org/plugin/creame-whatsapp-me.6.2.3.zip,public
245,User Role Editor,user-role-editor,https://downloads.wordpress.org/plugin/user-role-editor.4.65.zip,public
246,"Website Builder by SeedProd — Theme Builder, Landing Page Builder, Coming Soon Page, Maintenance Mode",coming-soon,https://downloads.wordpress.org/plugin/coming-soon.6.20.3.zip,public
247,"Backuply &#8211; Backup, Restore, Migrate and Clone",backuply,https://downloads.wordpress.org/plugin/backuply.1.5.3.zip,public
248,Simple Custom CSS and JS,custom-css-js,https://downloads.wordpress.org/plugin/custom-css-js.3.53.zip,public
249,Royal Addons for Elementor – Addons and Templates Kit for Elementor,royal-elementor-addons,https://downloads.wordpress.org/plugin/royal-elementor-addons.1.7.1063.zip,public
250,Enable Media Replace,enable-media-replace,https://downloads.wordpress.org/plugin/enable-media-replace.4.1.9.zip,public
251,Post Types Order,post-types-order,https://downloads.wordpress.org/plugin/post-types-order.2.4.7.zip,public
252,Broken Link Checker by AIOSEO – Easily Fix/Monitor Internal and External links,broken-link-checker-seo,https://downloads.wordpress.org/plugin/broken-link-checker-seo.1.2.10.zip,public
253,Health Check &amp; Troubleshooting,health-check,https://downloads.wordpress.org/plugin/health-check.1.7.1.zip,public
254,Insert Headers And Footers,wp-headers-and-footers,https://downloads.wordpress.org/plugin/wp-headers-and-footers.3.1.4.zip,public
255,Cyr-To-Lat,cyr2lat,https://downloads.wordpress.org/plugin/cyr2lat.7.0.2.zip,public
256,"OMGF | GDPR/DSGVO Compliant, Faster Google Fonts. Easy.",host-webfonts-local,https://downloads.wordpress.org/plugin/host-webfonts-local.6.3.6.zip,public
257,WP Rollback &#8211; Rollback Plugins and Themes,wp-rollback,https://downloads.wordpress.org/plugin/wp-rollback.3.1.2.zip,public
258,"Head, Footer and Post Injections",header-footer,https://downloads.wordpress.org/plugin/header-footer.3.3.6.zip,public
259,"PrettyLinks &#8211; Affiliate Links, Link Branding, Link Tracking, Marketing and Stripe Payments Plugin",pretty-link,https://downloads.wordpress.org/plugin/pretty-link.3.6.22.zip,public
260,Kadence Starter Templates — Predesigned Website Templates,kadence-starter-templates,https://downloads.wordpress.org/plugin/kadence-starter-templates.2.3.2.zip,public
261,WP Sitemap Page,wp-sitemap-page,https://downloads.wordpress.org/plugin/wp-sitemap-page.zip,public
262,Redirection for Contact Form 7,wpcf7-redirect,https://downloads.wordpress.org/plugin/wpcf7-redirect.3.2.10.zip,public
263,"HubSpot All-In-One Marketing &#8211; Forms, Popups, Live Chat",leadin,https://downloads.wordpress.org/plugin/leadin.11.3.45.zip,public
264,Social Chat &#8211; Click To Chat App Button,wp-whatsapp-chat,https://downloads.wordpress.org/plugin/wp-whatsapp-chat.8.5.3.zip,public
265,LoginPress | wp-login Custom Login Page Customizer,loginpress,https://downloads.wordpress.org/plugin/loginpress.6.2.3.zip,public
266,Mailchimp for WooCommerce,mailchimp-for-woocommerce,https://downloads.wordpress.org/plugin/mailchimp-for-woocommerce.6.1.1.zip,public
267,Activity Log &#8211; Monitor &amp; Record User Changes,aryo-activity-log,https://downloads.wordpress.org/plugin/aryo-activity-log.2.11.2.zip,public
268,Advanced Google reCAPTCHA,advanced-google-recaptcha,https://downloads.wordpress.org/plugin/advanced-google-recaptcha.5.39.zip,public
269,Newsletter &#8211; Send awesome emails from WordPress,newsletter,https://downloads.wordpress.org/plugin/newsletter.9.2.7.zip,public
270,Post Duplicator,post-duplicator,https://downloads.wordpress.org/plugin/post-duplicator.3.0.15.zip,public
271,FileOrganizer &#8211; WordPress File Manager,fileorganizer,https://downloads.wordpress.org/plugin/fileorganizer.1.2.0.zip,public
